Timestamp,Test Agent,Baseline Agent,Seeds,Games,Win Rate,Test Mean,Mean Margin
08-28 20:42:52,agent_v3,starter,10,20,100.0,6125.55,2574.25
08-28 20:56:07,agent_v4,starter,10,20,100.0,6665.55,3097.65
08-28 23:10:17,agent_v4,starter,10,20,100.0,7350.4,3796.65
08-28 23:12:25,agent_v4,starter,10,20,100.0,7337.3,3802.0
08-28 23:16:48,agent_v4,starter,10,20,100.0,7046.1,3428.85
08-28 23:17:45,agent_v4,starter,10,20,100.0,7193.85,3583.35
08-28 23:18:46,agent_v4,starter,10,20,100.0,7074.9,3435.15
08-28 23:20:02,agent_v4,starter,10,20,100.0,8154.85,4595.45
08-28 23:28:44,agent_v4,starter,10,20,100.0,9509.25,5976.45
08-28 23:42:44,agent_v4,starter,10,20,100.0,9599.85,6045.35
08-28 23:44:16,agent_v4,starter,10,20,100.0,9477.95,5871.2
08-28 23:45:30,agent_v4,starter,10,20,100.0,9121.45,5583.8
08-28 23:46:51,agent_v4,starter,10,20,100.0,9106.75,5508.4
08-28 23:47:57,agent_v4,starter,12,24,100.0,9552.583333333334,6002.458333333333
08-28 23:48:56,agent_v4,starter,15,30,100.0,9433.3,5873.133333333333
08-28 23:52:00,agent_v4,starter,20,40,100.0,9424.325,5850.775
08-29 00:00:26,agent_v4,starter,20,40,100,9386,5827
08-29 00:01:05,agent_v4,starter,20,40,100,8350,4676
08-29 00:08:41,agent_v4,starter,20,40,100,9244,5682
08-29 00:11:01,agent_v4,starter,20,40,100,9484,5855
08-29 00:14:46,agent_v4,starter,20,40,100,9947,6345
08-29 00:15:29,agent_v4,starter,20,40,100,9408,5794
08-29 00:15:48,agent_v4,starter,20,40,100,10140,6613
08-29 17:41:59,carrot_agent,starter,20,40,100,8431,5092
08-29 17:49:43,carrot_agent,starter,20,40,95,8667,5258
08-29 17:50:49,carrot_agent,starter,20,40,92,7495,4121
08-29 17:57:39,carrot_agent,starter,20,40,87,7448,4062
08-29 17:58:45,carrot_agent,starter,20,40,100,8920,5550
08-29 18:24:47,carrot_agent,starter,20,40,100,8616,5259
08-29 18:30:08,carrot_agent,starter,20,40,0,30,-3613
08-29 18:32:18,carrot_agent,starter,20,40,0,571,-2983
08-29 18:32:54,carrot_agent,starter,20,40,0,100,-3435
08-29 18:35:31,carrot_agent,starter,20,40,0,106,-3572
08-29 18:38:47,carrot_agent,starter,20,40,0,93,-3489
08-29 18:50:28,carrot_agent,starter,20,40,0,2939,-626
08-29 18:51:40,carrot_agent,starter,20,40,0,2939,-616
08-29 18:53:31,carrot_agent,starter,20,40,100,8919,5551
08-29 18:56:09,carrot_agent,starter,20,40,0,591,-2958
08-29 18:59:02,carrot_agent,starter,20,40,100,8978,5609
08-29 18:59:43,carrot_agent,starter,20,40,100,8910,5507
08-29 19:07:52,carrot_agent,starter,20,40,100,9438,6081
08-29 19:09:21,carrot_agent,starter,20,40,100,9186,5892
08-29 19:11:11,carrot_agent,starter,20,40,100,9726,6406
08-29 19:23:48,carrot_agent,starter,20,40,100,10683,7128
08-29 19:24:12,carrot_agent,starter,20,40,100,10731,7109
08-29 19:25:22,carrot_agent,starter,20,40,100,11228,7702
08-29 19:27:45,carrot_agent,starter,20,40,100,11069,7485
08-29 19:31:58,carrot_agent,starter,20,40,75,6075,2748
08-29 19:42:41,wheat_agent,starter,20,40,100,10780,7249
08-29 19:43:06,wheat_agent,starter,20,40,100,10814,7242
08-29 19:52:27,wheat_agent,starter,20,40,100,10503,6930
08-29 19:52:43,wheat_agent,starter,20,40,100,10608,7040
08-29 20:00:16,wheat_agent,starter,20,40,100,10930,7353
08-29 20:00:39,wheat_agent,starter,20,40,100,10591,7013
08-29 20:01:01,wheat_agent,starter,20,40,100,10623,7038
08-29 20:09:40,wheat_agent,starter,20,40,100,10555,6997
08-29 20:10:50,wheat_agent,starter,20,40,100,10053,6446
08-29 20:11:22,wheat_agent,starter,20,40,100,10875,7347
08-29 20:11:41,wheat_agent,starter,20,40,100,10995,7436
